vote_id,title,policy,final_vote
1,"Appointment of 4 members of the European Commission - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)",Constitutional and inter-institutional affairs,True
2,Adoption by Lithuania of the euro on 1 January 2015,Economic & monetary affairs,False
3,Adoption by Lithuania of the euro on 1 January 2015,Economic & monetary affairs,False
4,Adoption by Lithuania of the euro on 1 January 2015,Economic & monetary affairs,False
5,Adoption by Lithuania of the euro on 1 January 2015,Economic & monetary affairs,True
6,"Nigeria, recent attacks by Boko Haram",Foreign & security policy,False
7,"Nigeria, recent attacks by Boko Haram",Foreign & security policy,True
8,Situation in Ukraine,Foreign & security policy,False
9,Situation in Ukraine,Foreign & security policy,False
10,Situation in Ukraine,Foreign & security policy,False
11,Situation in Ukraine,Foreign & security policy,False
12,Situation in Ukraine,Foreign & security policy,False
13,Situation in Ukraine,Foreign & security policy,False
14,Situation in Ukraine,Foreign & security policy,False
15,Situation in Ukraine,Foreign & security policy,True
16,Youth employment,Employment & social affairs,False
17,Youth employment,Employment & social affairs,False
18,Youth employment,Employment & social affairs,False
19,Youth employment,Employment & social affairs,False
20,Youth employment,Employment & social affairs,False
21,Youth employment,Employment & social affairs,False
22,Youth employment,Employment & social affairs,False
23,Youth employment,Employment & social affairs,False
24,Youth employment,Employment & social affairs,False
25,Youth employment,Employment & social affairs,False
26,Youth employment,Employment & social affairs,False
27,Youth employment,Employment & social affairs,False
28,Youth employment,Employment & social affairs,False
29,Youth employment,Employment & social affairs,False
30,Youth employment,Employment & social affairs,False
31,Youth employment,Employment & social affairs,False
32,Youth employment,Employment & social affairs,True
33,Situation in Iraq,Foreign & security policy,False
34,Escalation of violence between Israel and Palestine,Foreign & security policy,False
35,Escalation of violence between Israel and Palestine,Foreign & security policy,False
36,Escalation of violence between Israel and Palestine,Foreign & security policy,False
37,Escalation of violence between Israel and Palestine,Foreign & security policy,False
38,Escalation of violence between Israel and Palestine,Foreign & security policy,False
39,Escalation of violence between Israel and Palestine,Foreign & security policy,True
40,"EU-Ukraine association agreement, with the exception of the treatment of third country nationals legally employed as workers in the territory of the other party",Foreign & security policy,True
41,"EU-Ukraine association agreement, as regards the treatment of third country nationals legally employed as workers in the territory of the other party","Civil liberties, justice & home affairs",True
42,Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/000 TA 2014 - Technical assistance at the initiative of the Commission,Budget,True
43,Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/001 EL/Nutriart,Budget,True
