incumbent,national_party,ep_group,country,country_duration,quantity_votes_party,quantity_votes_group,party_size,largest_party_size,largest_group_size,party_country_ratio,party_group_size,party_group_ratio,party_defection,party_cohesion,group_defection,group_cohesion,meserve_score_party,meserve_score_group
1,Citizens for European Development of Bulgaria,EPP,Bulgaria,3,1147.0,1154.0,5,5.0,177.0,0.29411764705882354,183,0.0273224043715847,0.0134045335658238,0.9555242634315424,0.0379169302479346,0.9198144174347884,0.01743679163034,0.0589254766031195
1,Forza Italia,EPP,Italy,9,1202.0,1202.0,10,10.0,177.0,0.1282051282051282,183,0.0546448087431694,0.0704213216068457,0.8112025592266856,0.0874254360129747,0.9260578839221963,0.105657237936772,0.1139767054908485
0,Lega,IDG,Italy,9,1192.0,1192.0,24,24.0,65.0,0.3076923076923077,65,0.36923076923076925,0.0043539692534516,0.9904888765349308,0.0572945591522201,0.642289534110317,0.0050335570469798,0.1619127516778523
0,Partit Laburista,S&D,Malta,4,1167.0,1167.0,5,4.0,144.0,0.7142857142857143,155,0.03225806451612903,0.0029991431019708,0.9782562125107112,0.0312843550477708,0.9652503135780828,0.0034275921165381,0.0368466152527849
0,Vox,ECR,Spain,7,1201.0,1213.0,4,4.0,64.0,0.06666666666666667,67,0.05970149253731343,0.0070774354704412,0.9870156636438582,0.178828835361804,0.7627250844101731,0.0074937552039966,0.2926628194558944
1,Partido Socialista Obrero Español,S&D,Spain,7,1237.0,1237.0,20,20.0,144.0,0.3333333333333333,155,0.12903225806451613,0.0376980243656838,0.9910107810844512,0.0392771177964318,0.9641091682985824,0.0404203718674211,0.0452708164915117
0,Centerpartiet,REG,Sweden,5,1108.0,1209.0,3,2.0,103.0,0.13043478260869565,107,0.028037383177570093,0.0,0.9925558312655088,0.0640947308660091,0.9197610285227924,0.0,0.0959470636889991
0,Union of Democratic Forces,EPP,Bulgaria,3,0.0,1183.0,1,,177.0,0.058823529411764705,183,0.00546448087431694,,,0.0371502297518159,0.9266780101088656,,0.0549450549450549
0,Régions et Peuples Solidaires,Greens/EFA,France,9,0.0,1178.0,1,,71.0,0.012658227848101266,74,0.013513513513513514,,,0.0124310903709314,0.9712652706468728,,0.0178268251273344
0,Movement for Rights and Freedoms,REG,Bulgaria,3,1228.0,1228.0,3,3.0,103.0,0.17647058823529413,107,0.028037383177570093,0.001628664495114,0.9969462540716612,0.0203853204743004,0.920364515395052,0.001628664495114,0.0390879478827361
0,Partido Social Democrata,EPP,Portugal,7,1171.0,1171.0,6,6.0,177.0,0.2608695652173913,183,0.03278688524590164,0.0089666951323654,0.99233561058924,0.0165192174894891,0.9254432634311672,0.0102476515798462,0.0281810418445772
0,Gods kalpot Rīgai,S&D,Latvia,4,0.0,1155.0,1,,144.0,0.125,155,0.0064516129032258064,,,0.006569318790056,0.966611315244856,,0.0086580086580086
0,Alternative für Deutschland,IDG,Germany,9,1158.0,1158.0,9,9.0,65.0,0.0891089108910891,65,0.13846153846153847,0.0120666790032075,0.981610843819393,0.1525001982862419,0.6374304275451899,0.0164075993091537,0.3126079447322971
0,Bündnis 90/Die Grünen,Greens/EFA,Germany,9,1226.0,1226.0,22,21.0,71.0,0.21782178217821782,74,0.2972972972972973,0.002950330557225,0.9915114258469844,0.0027028173423387,0.970821797089697,0.0032626427406199,0.0040783034257748
1,Parti Socialiste,S&D,France,9,1136.0,1136.0,5,5.0,144.0,0.06329113924050633,155,0.03225806451612903,0.0081426056338028,0.956338028169014,0.0502885153463212,0.9657893073235624,0.0114436619718309,0.0607394366197183
